"x","y","V","U"
151,69,531.3,NA
150,89,547.2,NA
150,109,482.7,NA
150,129,84.1,NA
150,151,4.7,NA
149,169,180.6,NA
151,190,0,NA
148,208,342.4,NA
150,228,602.3,NA
149,251,209.1,NA
149,271,79.4,NA
148,291,104.1,NA
168,8,446,NA
171,29,189.9,NA
169,49,280.4,NA
168,69,0,NA
168,91,499.3,NA
171,109,457.3,NA
168,131,341.2,NA
171,150,0,NA
171,171,208.3,NA
169,191,99.7,NA
170,210,636.6,NA
170,230,173.1,NA
169,249,17,NA
168,271,283.1,NA
168,290,30.9,NA
190,11,348.5,NA
191,28,222.4,NA
191,48,59.1,NA
190,69,0,NA
190,89,326,NA
188,111,325.1,NA
191,129,114.7,NA
189,149,481.6,NA
190,169,324.1,NA
190,189,10.9,NA
188,210,332.9,NA
191,231,184.4,NA
190,248,146.6,NA
189,270,92,NA
189,290,2.5,NA
211,11,358.1,NA
209,30,473.3,NA
211,49,308.8,NA
210,70,406.8,NA
209,90,812.1,NA
210,111,339.7,NA
211,130,223.9,NA
208,151,673.5,NA
209,168,141,NA
208,191,61.8,NA
210,211,258.3,NA
211,228,590.3,NA
211,250,166.9,NA
208,268,125.2,NA
208,289,29.3,NA
231,10,617.6,NA
231,28,425.9,NA
230,50,295.7,NA
230,71,224.9,NA
229,91,31.7,NA
229,110,377.4,NA
230,131,333.3,NA
228,148,351,NA
229,169,0,NA
231,191,137.6,NA
231,208,451.2,NA
229,228,639.5,NA
231,249,119.9,NA
231,268,27.2,NA
230,291,2.1,NA
249,9,167.7,NA
250,30,147.8,NA
249,48,442.7,NA
251,69,487.7,NA
251,91,0,NA
248,109,28.2,NA
249,130,0,NA
248,150,18.3,NA
250,169,266.3,NA
250,190,502.3,NA
251,208,0,NA
251,229,240.9,NA
249,251,234.4,NA
248,270,22.4,NA
250,291,45.6,NA
40,71,76.2,1.1
21,69,284.3,7.8
28,80,606.8,105.3
29,59,772.7,1512.7
41,81,269.5,9.8
18,80,1036.7,860.4
39,60,238.6,12.7
18,60,519.4,177.1
41,90,414.9,23.4
21,90,601.4,173.1
31,101,579.2,296.5
41,100,601.4,300.6
21,100,594.6,229.7
60,8,550.1,258.3
40,11,99.4,2.2
51,18,233.6,14.2
59,20,14.4,0.1
41,21,115.9,3.1
59,90,506.2,126.9
51,101,502.4,73.8
50,81,608,210.7
59,101,363.9,30.4
60,81,385.6,50.3
60,151,1521.1,3691.8
38,148,340.9,50
50,160,879.1,474.2
50,138,413.4,83
61,158,868.9,983.8
39,160,657.4,217.8
61,139,477,71.5
38,140,268.5,26.2
61,170,806.4,301.1
39,170,914.4,1548.5
49,179,811.5,234.9
58,179,1113.6,2154.7
39,181,1008,3637.4
60,191,1528.1,1930.9
40,190,970.9,1391.1
51,198,1109,1660.8
60,198,1203.9,1813.7
40,200,641.3,249.1
58,208,720.6,1160.1
38,209,665.3,547.8
50,221,543.3,1066.6
61,220,101.1,59.5
39,221,615.9,420.9
59,268,543.1,1714.2
41,271,868.8,828.7
49,278,583,1788.8
51,260,670.7,3738.9
59,281,148.8,675
39,279,798,1182.1
59,258,194.9,983.3
38,260,635.2,766.6
78,28,781.6,565.4
60,29,238.6,12.7
70,41,472,84.9
70,21,58.1,0.3
78,41,600.3,124.6
61,41,64.9,0.8
78,20,505.9,70
80,131,801.6,421.1
58,128,158.8,4.3
71,140,606.3,175.1
70,121,30.7,0
79,138,730.1,1694.5
80,119,421.2,35.1
61,121,104.8,1.8
79,149,44.1,0
71,160,801.1,2535
78,159,742,3371.5
80,168,689.1,634.6
69,181,424.6,762.6
79,181,184.3,241.7
80,188,245.2,431.1
70,198,630,1992.1
81,200,0,0
100,48,48.7,0
80,49,757.4,473.8
90,58,739.8,280.2
88,39,520.7,76.8
100,60,0,0
80,59,0,0
101,38,730.5,464
101,68,383.1,97.8
79,70,508.8,103.9
90,79,573.3,138.3
100,78,372.4,70.9
81,81,585.8,197.2
100,91,397.2,38.9
80,89,614.5,192.3
91,99,734.9,159.6
101,100,599.3,539.3
81,98,181.2,1.3
98,111,744.8,1987
81,108,1022.3,643
90,120,899.3,1290.3
100,118,363.7,20.5
98,130,513.2,263.9
90,140,648.8,2147.5
90,138,645.4,1927.1
121,131,13,0.2
111,140,190.3,48.8
108,121,893,3070.9
120,141,104.7,14.6
119,118,150.4,16.9
158,228,558.4,551.6
140,229,558,513.9
150,241,318.5,129.2
151,218,394.3,239.2
161,241,141.9,8.6
141,240,112.5,4.6
160,218,580.4,1118.7
139,220,535.9,445.7
178,211,398.2,561.8
159,209,517.3,148.8
169,221,427.2,197.2
170,198,367.6,1429.8
180,218,374.7,77.5
178,201,144.8,81.3
158,198,169.8,154.5
219,88,235.1,136.9
198,90,611.7,735.8
211,100,746.4,710.6
208,80,436.6,495.8
221,99,540.9,586.8
199,98,801,1419
220,81,272.1,177.3
198,78,204.1,86
220,150,543.9,675
200,150,606.2,381.1
208,159,356,280.4
210,140,440.9,330.3
221,160,301.8,365.6
198,161,369.4,154.5
219,139,166.8,24.5
200,139,230.9,42.2
239,8,240.3,80.2
218,8,737.1,1373.4
229,19,518.6,147.7
239,18,390.7,186.7
218,18,797.4,1429.7
238,229,602.6,1510.9
218,228,430.8,265.2
231,239,354.1,478
230,221,602.4,538.9
240,239,172.6,51.9
221,241,324.8,290.9
239,220,420.1,398.3
218,218,763.5,1236.7
35,71,687.8,486.8
24,71,735.8,463.9
34,88,86.9,0.1
23,91,817,708.8
54,10,637.9,349.4
46,11,512.3,392
55,89,423.4,21.2
45,89,569.6,62.8
53,150,858,873
46,148,234,7.5
55,168,876,288.1
43,170,1082.8,1174.9
55,191,1392.6,1004.7
44,191,646.6,76.8
55,211,889.5,938.8
46,211,509.2,429.7
54,269,613.1,2922.4
43,271,767.8,198.1
73,29,649.4,231.7
64,31,235.4,10.8
75,129,782.8,639.3
64,129,227.3,8.6
73,149,722.9,696.1
64,151,974.5,664.1
75,171,512.2,144.8
63,168,1215.8,1446.1
73,188,687.1,2351.5
64,191,1259.9,1257.6
93,48,687.5,373.2
86,48,471.9,31.8
93,70,512.1,196.1
84,69,963.9,1210
93,90,874,1031.3
86,89,582.4,117
96,111,553.2,360.5
85,108,937.3,1495.5
93,131,883.6,1336.8
86,131,879.9,965.3
114,131,268.4,104.4
106,130,651.5,1957.7
155,229,386.4,88.2
145,230,333.2,63.5
174,208,339.2,335
166,211,600.3,647.6
215,89,595.2,1457
205,89,809.6,955.8
215,148,293.3,67.7
204,151,697.3,444.5
236,9,515.9,1593.8
223,9,613.2,277.6
236,229,665.3,1962
226,230,813.6,2279.8
35,80,174.8,2
24,79,891.8,635.7
36,61,699.6,1547.8
26,58,39.5,0.3
16,80,915.6,634.8
43,60,584,97.4
15,88,610,319.3
46,99,566.8,100.2
36,99,38.1,0
54,80,483,105
46,81,542.6,138.6
54,161,959.3,466.7
43,161,631.9,261.1
65,160,928.3,2252.5
33,160,431,48.6
36,170,672.3,605.5
53,179,1003.4,425.4
44,180,876.4,937.8
65,181,734.1,589.3
34,180,366,110.2
33,191,296.5,79.1
55,199,1069.2,376.4
46,198,804.3,674.6
63,201,731.1,1363.3
34,201,318.1,79.6
65,210,238.6,488.3
35,208,428.9,161.2
46,220,734.4,1236.1
36,219,429.1,152.3
35,217,597.4,397
53,258,442.6,1696.4
46,260,765.2,779.8
45,281,605.5,934.8
35,278,795.9,1588.3
35,259,235,18.9
84,30,562,85.3
84,41,411.4,34
75,40,696.7,356.2
73,141,790.9,607.3
63,140,696.5,357.8
84,138,687.3,893.4
76,159,597.5,997.3
84,161,437.4,387.2
86,169,317.4,761.7
73,199,470.7,5190.1
76,51,498.7,101.8
94,61,778.7,1354
85,60,523.3,117.5
104,38,617.1,200.2
93,41,395.5,28.4
75,90,518.9,113
94,101,383.7,12.9
85,100,704.1,126
104,109,562.3,908.6
75,110,655.3,349
95,121,823.6,548.4
83,119,847.7,701.4
94,140,607.5,723.2
103,139,491.2,565.3
114,120,319.5,154.2
104,118,594,289.2
196,91,433.5,254.1
215,101,209.6,4
204,101,533.8,127.3
196,101,592.4,419.4
195,149,478.7,141.9
216,11,660.2,1424.8
225,19,832.2,512.2
214,19,242.5,15.6
245,231,161.2,26.1
233,220,626,959.7
226,221,800.1,1681.5
213,218,482.6,476.2
